Opponent,Strategy,Egypt_Attack,Egypt_Defense,Egypt_Passing,Egypt_Total,Opp_Attack,Opp_Defense,Opp_Passing,Opp_Total,Egypt_Advantage,Egypt_Formation,Opp_Formation
Morocco,balanced,81.2,75.3,86.2,242.7,78.2,78.5,85.4,242.1,0.5999999999999943,1-3-4-3,1-5-4-1
Morocco,attack,83.4,69.8,84.5,237.7,85.0,67.7,84.0,236.7,1.0,1-3-2-5,1-3-3-4
Morocco,defense,73.2,82.8,81.7,237.7,76.2,79.3,84.8,240.3,-2.6000000000000227,1-5-4-1,1-5-4-1
Senegal,balanced,81.2,75.3,86.2,242.7,77.5,79.0,85.5,242.0,0.6999999999999886,1-3-4-3,1-4-4-2
Senegal,attack,83.4,69.8,84.5,237.7,82.7,70.5,84.8,238.0,-0.30000000000001137,1-3-2-5,1-3-3-4
Senegal,defense,73.2,82.8,81.7,237.7,74.2,82.3,84.1,240.6,-2.9000000000000057,1-5-4-1,1-5-4-1
Algeria,balanced,81.2,75.3,86.2,242.7,79.5,77.4,87.4,244.3,-1.6000000000000227,1-3-4-3,1-4-4-2
Algeria,attack,83.4,69.8,84.5,237.7,85.7,66.6,87.4,239.70000000000002,-2.0000000000000284,1-3-2-5,1-3-2-5
Algeria,defense,73.2,82.8,81.7,237.7,76.3,80.6,85.8,242.7,-5.0,1-5-4-1,1-5-4-1
Nigeria,balanced,81.2,75.3,86.2,242.7,82.0,77.6,84.4,244.0,-1.3000000000000114,1-3-4-3,1-3-5-2
Nigeria,attack,83.4,69.8,84.5,237.7,83.4,71.0,84.2,238.60000000000002,-0.9000000000000341,1-3-2-5,1-3-3-4
Nigeria,defense,73.2,82.8,81.7,237.7,75.5,83.0,82.2,240.7,-3.0,1-5-4-1,1-5-4-1
Cameroon,balanced,81.2,75.3,86.2,242.7,76.4,78.8,83.0,238.2,4.5,1-3-4-3,1-4-4-2
Cameroon,attack,83.4,69.8,84.5,237.7,81.4,68.6,82.8,232.8,4.899999999999977,1-3-2-5,1-3-2-5
Cameroon,defense,73.2,82.8,81.7,237.7,73.2,82.4,81.8,237.40000000000003,0.2999999999999545,1-5-4-1,1-5-4-1
Ivory Coast,balanced,81.2,75.3,86.2,242.7,80.8,77.8,87.0,245.6,-2.9000000000000057,1-3-4-3,1-3-5-2
Ivory Coast,attack,83.4,69.8,84.5,237.7,82.8,71.4,85.6,239.79999999999998,-2.0999999999999943,1-3-2-5,1-3-3-4
Ivory Coast,defense,73.2,82.8,81.7,237.7,75.4,83.4,84.2,243.0,-5.300000000000011,1-5-4-1,1-5-4-1
